id,Circuit,District,N,Pct,Fiscal_Year
502,5th Circuit,"Texas, Northern",98,2.50%,2017
503,5th Circuit,"Texas, Southern",81,2.10%,2017
504,5th Circuit,"Texas, Western",77,2.00%,2017
505,6th Circuit,"Kentucky, Eastern",13,0.30%,2017
506,6th Circuit,"Kentucky, Western",11,0.30%,2017
507,6th Circuit,"Michigan, Eastern",126,3.20%,2017
508,6th Circuit,"Michigan, Western",30,0.80%,2017
509,6th Circuit,"Ohio, Northern",52,1.30%,2017
510,6th Circuit,"Ohio, Southern",51,1.30%,2017
511,6th Circuit,"Tennessee, Eastern",33,0.80%,2017
512,6th Circuit,"Tennessee, Middle",30,0.80%,2017
513,6th Circuit,"Tennessee, Western",49,1.20%,2017
514,7th Circuit,"Illinois, Central",16,0.40%,2017
515,7th Circuit,"Illinois, Northern",80,2.00%,2017
516,7th Circuit,"Illinois, Southern",25,0.60%,2017
517,7th Circuit,"Indiana, Northern",31,0.80%,2017
518,7th Circuit,"Indiana, Southern",54,1.40%,2017
519,7th Circuit,"Wisconsin, Eastern",68,1.70%,2017
520,7th Circuit,"Wisconsin, Western",12,0.30%,2017
521,8th Circuit,"Arkansas, Eastern",13,0.30%,2017
522,8th Circuit,"Arkansas, Western",17,0.40%,2017
523,8th Circuit,"Iowa, Northern",10,0.30%,2017
524,8th Circuit,"Iowa, Southern",32,0.80%,2017
525,8th Circuit,Minnesota,37,0.90%,2017
526,8th Circuit,"Missouri, Eastern",36,0.90%,2017
527,8th Circuit,"Missouri, Western",47,1.20%,2017
528,8th Circuit,Nebraska,34,0.90%,2017
529,8th Circuit,North Dakota,53,1.30%,2017
530,8th Circuit,South Dakota,119,3.00%,2017
531,9th Circuit,Alaska,11,0.30%,2017
532,9th Circuit,Arizona,231,5.90%,2017
533,9th Circuit,"California, Central",44,1.10%,2017
534,9th Circuit,"California, Eastern",33,0.80%,2017
535,9th Circuit,"California, Northern",43,1.10%,2017
536,9th Circuit,"California, Southern",32,0.80%,2017
537,9th Circuit,Guam,1,0.00%,2017
538,9th Circuit,Hawaii,6,0.20%,2017
539,9th Circuit,Idaho,19,0.50%,2017
540,9th Circuit,Montana,53,1.30%,2017
541,9th Circuit,Nevada,56,1.40%,2017
542,9th Circuit,Oregon,35,0.90%,2017
543,9th Circuit,"Washington, Eastern",31,0.80%,2017
544,9th Circuit,"Washington, Western",29,0.70%,2017
545,10th Circuit,Colorado,40,1.00%,2017
546,10th Circuit,Kansas,50,1.30%,2017
547,10th Circuit,New Mexico,100,2.50%,2017
548,10th Circuit,"Oklahoma, Eastern",5,0.10%,2017
549,10th Circuit,"Oklahoma, Northern",22,0.60%,2017
550,10th Circuit,"Oklahoma, Western",31,0.80%,2017
551,10th Circuit,Utah,44,1.10%,2017
552,10th Circuit,Wyoming,27,0.70%,2017
553,11th Circuit,"Alabama, Middle",13,0.30%,2017
554,11th Circuit,"Alabama, Northern",11,0.30%,2017
555,11th Circuit,"Alabama, Southern",20,0.50%,2017
556,11th Circuit,"Florida, Middle",77,2.00%,2017
557,11th Circuit,"Florida, Northern",20,0.50%,2017
558,11th Circuit,"Florida, Southern",120,3.10%,2017
559,11th Circuit,"Georgia, Middle",23,0.60%,2017
560,11th Circuit,"Georgia, Northern",40,1.00%,2017
561,11th Circuit,"Georgia, Southern",16,0.40%,2017
562,Grand Total,Total,"3,816",100.00%,2016
563,DC Circuit,District of Columbia,23,0.60%,2016
564,1st Circuit,Maine,18,0.50%,2016
565,1st Circuit,Massachusetts,21,0.60%,2016
566,1st Circuit,New Hampshire,23,0.60%,2016
567,1st Circuit,Puerto Rico,66,1.70%,2016
568,1st Circuit,Rhode Island,11,0.30%,2016
569,2nd Circuit,Connecticut,26,0.70%,2016
570,2nd Circuit,"New York, Eastern",109,2.90%,2016
571,2nd Circuit,"New York, Northern",21,0.60%,2016
572,2nd Circuit,"New York, Southern",148,3.90%,2016
573,2nd Circuit,"New York, Western",69,1.80%,2016
574,2nd Circuit,Vermont,8,0.20%,2016
575,3rd Circuit,Delaware,8,0.20%,2016
576,3rd Circuit,New Jersey,46,1.20%,2016
577,3rd Circuit,"Pennsylvania, Eastern",67,1.80%,2016
578,3rd Circuit,"Pennsylvania, Middle",25,0.70%,2016
579,3rd Circuit,"Pennsylvania, Western",20,0.50%,2016
580,3rd Circuit,Virgin Islands,6,0.20%,2016
581,4th Circuit,Maryland,90,2.40%,2016
582,4th Circuit,"North Carolina, Eastern",59,1.50%,2016
583,4th Circuit,"North Carolina, Middle",43,1.10%,2016
584,4th Circuit,"North Carolina, Western",62,1.60%,2016
585,4th Circuit,South Carolina,30,0.80%,2016
586,4th Circuit,"Virginia, Eastern",97,2.50%,2016
587,4th Circuit,"Virginia, Western",17,0.40%,2016
588,4th Circuit,"West Virginia, Northern",14,0.40%,2016
589,4th Circuit,"West Virginia, Southern",5,0.10%,2016
590,5th Circuit,"Louisiana, Eastern",30,0.80%,2016
591,5th Circuit,"Louisiana, Middle",3,0.10%,2016
592,5th Circuit,"Louisiana, Western",8,0.20%,2016
593,5th Circuit,"Mississippi, Northern",11,0.30%,2016
594,5th Circuit,"Mississippi, Southern",11,0.30%,2016
595,5th Circuit,"Texas, Eastern",50,1.30%,2016
596,5th Circuit,"Texas, Northern",90,2.40%,2016
597,5th Circuit,"Texas, Southern",108,2.80%,2016
598,5th Circuit,"Texas, Western",73,1.90%,2016
599,6th Circuit,"Kentucky, Eastern",21,0.60%,2016
600,6th Circuit,"Kentucky, Western",22,0.60%,2016
601,6th Circuit,"Michigan, Eastern",117,3.10%,2016
602,6th Circuit,"Michigan, Western",32,0.80%,2016
603,6th Circuit,"Ohio, Northern",43,1.10%,2016
604,6th Circuit,"Ohio, Southern",32,0.80%,2016
605,6th Circuit,"Tennessee, Eastern",39,1.00%,2016
606,6th Circuit,"Tennessee, Middle",20,0.50%,2016
607,6th Circuit,"Tennessee, Western",40,1.00%,2016
608,7th Circuit,"Illinois, Central",14,0.40%,2016
609,7th Circuit,"Illinois, Northern",76,2.00%,2016
610,7th Circuit,"Illinois, Southern",20,0.50%,2016
611,7th Circuit,"Indiana, Northern",22,0.60%,2016
612,7th Circuit,"Indiana, Southern",23,0.60%,2016
613,7th Circuit,"Wisconsin, Eastern",57,1.50%,2016
614,7th Circuit,"Wisconsin, Western",11,0.30%,2016
615,8th Circuit,"Arkansas, Eastern",22,0.60%,2016
616,8th Circuit,"Arkansas, Western",26,0.70%,2016
617,8th Circuit,"Iowa, Northern",9,0.20%,2016
618,8th Circuit,"Iowa, Southern",20,0.50%,2016
619,8th Circuit,Minnesota,54,1.40%,2016
620,8th Circuit,"Missouri, Eastern",18,0.50%,2016
621,8th Circuit,"Missouri, Western",57,1.50%,2016
622,8th Circuit,Nebraska,44,1.20%,2016
623,8th Circuit,North Dakota,55,1.40%,2016
624,8th Circuit,South Dakota,106,2.80%,2016
625,9th Circuit,Alaska,10,0.30%,2016
626,9th Circuit,Arizona,236,6.20%,2016
627,9th Circuit,"California, Central",34,0.90%,2016
628,9th Circuit,"California, Eastern",32,0.80%,2016
629,9th Circuit,"California, Northern",42,1.10%,2016
630,9th Circuit,"California, Southern",75,2.00%,2016
631,9th Circuit,Guam,1,0.00%,2016
632,9th Circuit,Hawaii,10,0.30%,2016
633,9th Circuit,Idaho,13,0.30%,2016
634,9th Circuit,Montana,46,1.20%,2016
635,9th Circuit,Nevada,46,1.20%,2016
636,9th Circuit,Northern Mariana Islands,2,0.10%,2016
637,9th Circuit,Oregon,38,1.00%,2016
638,9th Circuit,"Washington, Eastern",29,0.80%,2016
639,9th Circuit,"Washington, Western",36,0.90%,2016
640,10th Circuit,Colorado,37,1.00%,2016
641,10th Circuit,Kansas,42,1.10%,2016
642,10th Circuit,New Mexico,98,2.60%,2016
643,10th Circuit,"Oklahoma, Eastern",5,0.10%,2016
644,10th Circuit,"Oklahoma, Northern",15,0.40%,2016
645,10th Circuit,"Oklahoma, Western",23,0.60%,2016
646,10th Circuit,Utah,39,1.00%,2016
647,10th Circuit,Wyoming,23,0.60%,2016
648,11th Circuit,"Alabama, Middle",11,0.30%,2016
649,11th Circuit,"Alabama, Northern",17,0.40%,2016
650,11th Circuit,"Alabama, Southern",23,0.60%,2016
651,11th Circuit,"Florida, Middle",65,1.70%,2016
652,11th Circuit,"Florida, Northern",22,0.60%,2016
653,11th Circuit,"Florida, Southern",145,3.80%,2016
654,11th Circuit,"Georgia, Middle",17,0.40%,2016
655,11th Circuit,"Georgia, Northern",43,1.10%,2016
656,11th Circuit,"Georgia, Southern",25,0.70%,2016
657,Grand Total,Total,"3,835",100.00%,2015
658,DC Circuit,District of Columbia,31,0.80%,2015
659,1st Circuit,Maine,15,0.40%,2015
660,1st Circuit,Massachusetts,43,1.10%,2015
661,1st Circuit,New Hampshire,12,0.30%,2015
662,1st Circuit,Puerto Rico,117,3.10%,2015
663,1st Circuit,Rhode Island,8,0.20%,2015
664,2nd Circuit,Connecticut,23,0.60%,2015
665,2nd Circuit,"New York, Eastern",90,2.30%,2015
666,2nd Circuit,"New York, Northern",14,0.40%,2015
667,2nd Circuit,"New York, Southern",212,5.50%,2015
668,2nd Circuit,"New York, Western",40,1.00%,2015
669,2nd Circuit,Vermont,9,0.20%,2015
670,3rd Circuit,Delaware,6,0.20%,2015
671,3rd Circuit,New Jersey,57,1.50%,2015
672,3rd Circuit,"Pennsylvania, Eastern",86,2.20%,2015
673,3rd Circuit,"Pennsylvania, Middle",39,1.00%,2015
674,3rd Circuit,"Pennsylvania, Western",21,0.50%,2015
675,3rd Circuit,Virgin Islands,11,0.30%,2015
676,4th Circuit,Maryland,98,2.60%,2015
677,4th Circuit,"North Carolina, Eastern",57,1.50%,2015
678,4th Circuit,"North Carolina, Middle",59,1.50%,2015
679,4th Circuit,"North Carolina, Western",54,1.40%,2015
680,4th Circuit,South Carolina,22,0.60%,2015
681,4th Circuit,"Virginia, Eastern",79,2.10%,2015
682,4th Circuit,"Virginia, Western",13,0.30%,2015
683,4th Circuit,"West Virginia, Northern",13,0.30%,2015
684,4th Circuit,"West Virginia, Southern",12,0.30%,2015
685,5th Circuit,"Louisiana, Eastern",29,0.80%,2015
686,5th Circuit,"Louisiana, Middle",5,0.10%,2015
687,5th Circuit,"Louisiana, Western",26,0.70%,2015
688,5th Circuit,"Mississippi, Northern",14,0.40%,2015
689,5th Circuit,"Mississippi, Southern",23,0.60%,2015
690,5th Circuit,"Texas, Eastern",45,1.20%,2015
691,5th Circuit,"Texas, Northern",82,2.10%,2015
692,5th Circuit,"Texas, Southern",100,2.60%,2015
693,5th Circuit,"Texas, Western",71,1.90%,2015
694,6th Circuit,"Kentucky, Eastern",8,0.20%,2015
695,6th Circuit,"Kentucky, Western",23,0.60%,2015
696,6th Circuit,"Michigan, Eastern",83,2.20%,2015
697,6th Circuit,"Michigan, Western",35,0.90%,2015
698,6th Circuit,"Ohio, Northern",31,0.80%,2015
699,6th Circuit,"Ohio, Southern",29,0.80%,2015
700,6th Circuit,"Tennessee, Eastern",31,0.80%,2015
701,6th Circuit,"Tennessee, Middle",29,0.80%,2015
702,6th Circuit,"Tennessee, Western",37,1.00%,2015
703,7th Circuit,"Illinois, Central",18,0.50%,2015
704,7th Circuit,"Illinois, Northern",65,1.70%,2015
705,7th Circuit,"Illinois, Southern",28,0.70%,2015
706,7th Circuit,"Indiana, Northern",35,0.90%,2015
707,7th Circuit,"Indiana, Southern",41,1.10%,2015
708,7th Circuit,"Wisconsin, Eastern",30,0.80%,2015
709,7th Circuit,"Wisconsin, Western",13,0.30%,2015
710,8th Circuit,"Arkansas, Eastern",13,0.30%,2015
711,8th Circuit,"Arkansas, Western",9,0.20%,2015
712,8th Circuit,"Iowa, Northern",19,0.50%,2015
713,8th Circuit,"Iowa, Southern",27,0.70%,2015
714,8th Circuit,Minnesota,45,1.20%,2015
715,8th Circuit,"Missouri, Eastern",31,0.80%,2015
716,8th Circuit,"Missouri, Western",64,1.70%,2015
717,8th Circuit,Nebraska,23,0.60%,2015
718,8th Circuit,North Dakota,54,1.40%,2015
719,8th Circuit,South Dakota,117,3.10%,2015
720,9th Circuit,Alaska,12,0.30%,2015
721,9th Circuit,Arizona,196,5.10%,2015
722,9th Circuit,"California, Central",58,1.50%,2015
723,9th Circuit,"California, Eastern",31,0.80%,2015
724,9th Circuit,"California, Northern",43,1.10%,2015
725,9th Circuit,"California, Southern",46,1.20%,2015
726,9th Circuit,Guam,1,0.00%,2015
727,9th Circuit,Hawaii,16,0.40%,2015
728,9th Circuit,Idaho,14,0.40%,2015
729,9th Circuit,Montana,52,1.40%,2015
730,9th Circuit,Nevada,52,1.40%,2015
731,9th Circuit,Northern Mariana Islands,1,0.00%,2015
732,9th Circuit,Oregon,39,1.00%,2015
733,9th Circuit,"Washington, Eastern",26,0.70%,2015
734,9th Circuit,"Washington, Western",31,0.80%,2015
735,10th Circuit,Colorado,17,0.40%,2015
736,10th Circuit,Kansas,42,1.10%,2015
737,10th Circuit,New Mexico,112,2.90%,2015
738,10th Circuit,"Oklahoma, Eastern",2,0.10%,2015
739,10th Circuit,"Oklahoma, Northern",11,0.30%,2015
740,10th Circuit,"Oklahoma, Western",32,0.80%,2015
741,10th Circuit,Utah,36,0.90%,2015
742,10th Circuit,Wyoming,21,0.50%,2015
743,11th Circuit,"Alabama, Middle",8,0.20%,2015
744,11th Circuit,"Alabama, Northern",25,0.70%,2015
745,11th Circuit,"Alabama, Southern",17,0.40%,2015
746,11th Circuit,"Florida, Middle",93,2.40%,2015
747,11th Circuit,"Florida, Northern",12,0.30%,2015
748,11th Circuit,"Florida, Southern",124,3.20%,2015
749,11th Circuit,"Georgia, Middle",12,0.30%,2015
750,11th Circuit,"Georgia, Northern",53,1.40%,2015
751,11th Circuit,"Georgia, Southern",26,0.70%,2015
